"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4775010073","월매","경상북도 청송군 현동면 월매리","1987-10-01","1997-12-31","1","주수원","920","10","9","180","10","200","필댐(죤형)","1947","146","30","862","818","44","사통형","381","380","355"
"4775010109","오리골","경상북도 청송군 안덕면 복리","1943-01-01","1945-01-01","2","보조수원","114","2","2","3","10","100","필댐(죤형)","99","126","8","51","48","3","사통형","292","291","286"
"4775010112","장전","경상북도 청송군 안덕면 장전리","1956-01-01","1959-12-31","1","주수원","450","12","11","118","10","200","필댐(죤형)","510","260","15","450","427","23","사통형","321","319","312"
"4775010117","우질","경상북도 청송군 안덕면 문거리","1943-01-01","1945-01-01","2","보조수원","31","1","1","3","5","100","필댐(죤형)","300","54","14","32","30","2","사통형","278","277","273"
"4775010118","제동","경상북도 청송군 안덕면 장전리","1943-01-01","1945-01-01","2","보조수원","72","4","4","6","5","100","필댐(죤형)","83","100","8","92","87","5","사통형","287","286","281"
"4775010122","운지곡","경상북도 청송군 안덕면 복리","1943-01-01","1945-01-01","2","보조수원","50","1","1","3","5","100","필댐(죤형)","97","62","7","24","22","2","사통형","318","317","313"
"4775010123","복사곡","경상북도 청송군 안덕면 복리","1943-01-01","1945-01-01","2","보조수원","30","1","1","1","5","100","필댐(죤형)","66","66","6","39","35","4","사통형","305","305","301"
"4775010124","이치미","경상북도 청송군 안덕면 복리","1937-01-01","1938-12-30","2","보조수원","23","0","0","16","5","100","필댐(죤형)","62","71","6","16","15","1","사통형","309","309","304"
"4775010125","못골","경상북도 청송군 안덕면 복리","1943-01-01","1945-01-01","2","보조수원","22","1","1","1","10","100","필댐(죤형)","92","87","7","25","23","2","사통형","314","314","309"
"4775010126","부곡","경상북도 청송군 안덕면 복리","1943-01-01","1945-01-01","2","보조수원","24","0","0","1","5","100","필댐(죤형)","112","60","8","11","10","1","사통형","303","303","297"
